UUID,Titre,Publié,Promu en page d'accueil,Traduction,Exporter vers les extensions,Contexte(s),Language,Statut,Lien vers traduction l.d.o,Date de publication,Date de mise à jour
localize_glossary_translation_312_fr,untrusted user,1,0,utilisateur non vérifié,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=untrusted%20user,1307284460,1314823283
localize_glossary_translation_311_fr,unit test,1,0,test unitaire,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=unit%20test,1307284460,1446919377
localize_glossary_translation_310_fr,underscore,1,0,tiret bas,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=underscore,1307284460,1446918369
localize_glossary_translation_309_fr,tweaks,1,0,ajustements / réglages,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=tweaks,1307284460,1314823283
localize_glossary_translation_308_fr,trusted user,1,0,utilisateur de confiance,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=trusted%20user,1307284460,1446918544
localize_glossary_translation_307_fr,trimmed,1,0,tronqué,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=trimmed,1307284460,1446919799
localize_glossary_translation_306_fr,trailing slash,1,0,slash de fin,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=trailing%20slash,1307284460,1314823283
localize_glossary_translation_305_fr,trigger,1,0,déclencheur,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=trigger,1307284460,1314823283
localize_glossary_translation_304_fr,trail,1,0,chemin,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=trail,1307284460,1314823283
localize_glossary_translation_303_fr,track (to),1,0,suivre,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=track%20%28to%29,1307284460,1314823283
localize_glossary_translation_316_fr,URL,1,0,URL,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=URL,1307284460,1446918738
localize_glossary_translation_317_fr,User agent,1,0,client (user agent),1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=User%20agent,1307284460,1446918611
localize_glossary_translation_318_fr,user ID,1,0,identifiant (ID) utilisateur,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=user%20ID,1307284460,1314823281
localize_glossary_translation_334_fr,web interface,1,0,interface web,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=web%20interface,1307284460,1314823285
localize_glossary_translation_333_fr,web-accessible URL,1,0,URL accessible depuis le web,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=web-accessible%20URL,1307284460,1446918709
localize_glossary_translation_332_fr,watch,1,0,surveiller,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=watch,1307284460,1314823285
localize_glossary_translation_331_fr,warning,1,0,avertissement,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=warning,1307284460,1314823285
localize_glossary_translation_330_fr,vocabulary,1,0,vocabulaire,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=vocabulary,1307284460,1446917604
localize_glossary_translation_329_fr,viewing feeds,1,0,affichage des flux,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=viewing%20feeds,1307284460,1314823283
localize_glossary_translation_328_fr,viewing,1,0,visualisation / affichage / consultation,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=viewing,1307284460,1446918064
localize_glossary_translation_326_fr,view,1,0,vue [contexte:nom] / voir [contexte:verbe],1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=view,1307284460,1446917735
localize_glossary_translation_319_fr,username,1,0,nom d'utilisateur,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=username,1307284460,1314823281
localize_glossary_translation_320_fr,update (to),1,0,mettre à jour,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=update%20%28to%29,1307284460,1314823281
localize_glossary_translation_321_fr,upgrade,1,0,mettre à niveau vers,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=upgrade,1307284460,1550330526
localize_glossary_translation_323_fr,user picture,1,0,image de l'utilisateur,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=user%20picture,1307284460,1314823283
localize_glossary_translation_324_fr,/usr,1,0,Ressources unix partagées,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=/usr,1307284460,1314823283
localize_glossary_translation_325_fr,undone,1,0,irréversible,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=undone,1307284460,1314823283
localize_glossary_translation_238_fr,rich text,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=rich%20text,1307284459,1314823285
localize_glossary_translation_237_fr,revision,1,0,révision,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=revision,1307284459,1314823285
localize_glossary_translation_236_fr,revert,1,0,rétablir,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=revert,1307284459,1314823285
localize_glossary_translation_235_fr,restricted,1,0,réservé / limité / restreint,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=restricted,1307284459,1314823285
localize_glossary_translation_234_fr,reset (to),1,0,réinitialiser,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=reset%20%28to%29,1307284459,1551700087
localize_glossary_translation_233_fr,required,1,0,requis,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=required,1307284459,1447105483
localize_glossary_translation_232_fr,rendered,1,0,rendu / restitué,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=rendered,1307284459,1334857776
localize_glossary_translation_231_fr,remove,1,0,retirer,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=remove,1307284459,1314823286
localize_glossary_translation_230_fr,release notes,1,0,notes de version,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=release%20notes,1307284459,1314823286
localize_glossary_translation_229_fr,release,1,0,version,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=release,1307284459,1446918279
localize_glossary_translation_239_fr,roadmap ,1,0,feuille de route / carte routière,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=roadmap,1307284459,1314823285
localize_glossary_translation_240_fr,root,1,0,racine (root,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=root,1307284459,1314823285
localize_glossary_translation_250_fr,select box,1,0,liste de sélection,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=select%20box,1307284459,1314823286
localize_glossary_translation_249_fr,select (to),1,0,sélectionner,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=select%20%28to%29,1307284459,1314823286
localize_glossary_translation_248_fr,scroll (to),1,0,faire défiler / défiler,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=scroll%20%28to%29,1307284459,1314823286
localize_glossary_translation_247_fr,saved,1,0,enregistré (et non sauvé ou sauvegardé),1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=saved,1307284459,1314823286
localize_glossary_translation_246_fr,save (to),1,0,enregistrer,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=save%20%28to%29,1307284459,1314823286
localize_glossary_translation_245_fr,run (to),1,0,lancer,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=run%20%28to%29,1307284459,1314823286
localize_glossary_translation_244_fr,ruleset,1,0,ensemble de règles,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=ruleset,1307284459,1314823286
localize_glossary_translation_243_fr,Row style,1,0,style de ligne,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Row%20style,1307284459,1314823286
localize_glossary_translation_242_fr,row,1,0,ligne,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=row,1307284459,1314823285
localize_glossary_translation_241_fr,rotate (to),1,0,pivoter,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=rotate%20%28to%29,1307284459,1314823285
localize_glossary_translation_228_fr,related,1,0,associé,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=related,1307284459,1314823286
localize_glossary_translation_227_fr,related content,1,0,contenus associés,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=related%20content,1307284459,1314823286
localize_glossary_translation_226_fr,registered,1,0,inscrit,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=registered,1307284459,1314823286
localize_glossary_translation_213_fr,preview,1,0,aperçu,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=preview,1307284459,1314823286
localize_glossary_translation_212_fr,preset,1,0,réglage prédéfini [contexte général] style [contexte ImageCache],1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=preset,1307284459,1324071777
localize_glossary_translation_211_fr,preprocessor,1,0,pré-processeur,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=preprocessor,1307284459,1314823286
localize_glossary_translation_210_fr,preprocess,1,0,pré-traitement,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=preprocess,1307284459,1314823286
localize_glossary_translation_208_fr,post (to),1,0,poster,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=post%20%28to%29,1307284459,1314823286
localize_glossary_translation_207_fr,post,1,0,contribution,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=post,1307284459,1314823288
localize_glossary_translation_206_fr,popup,1,0,popup,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=popup,1307284459,1314823290
localize_glossary_translation_205_fr,poll node,1,0,sondage,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=poll%20node,1307284459,1314823290
localize_glossary_translation_204_fr,poll,1,0,sondage,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=poll,1307284459,1314823290
localize_glossary_translation_214_fr,preview (to),1,0,pré-visualiser,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=preview%20%28to%29,1307284459,1314823286
localize_glossary_translation_215_fr,process,1,0,processus / traitement,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=process,1307284459,1314823286
localize_glossary_translation_216_fr,process (to),1,0,traiter,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=process%20%28to%29,1307284459,1446919772
localize_glossary_translation_225_fr,register (to),1,0,s'inscrire,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=register%20%28to%29,1307284459,1314823286
localize_glossary_translation_224_fr,region,1,0,région,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=region,1307284459,1314823286
localize_glossary_translation_223_fr,read more (to),1,0,lire la suite,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=read%20more%20%28to%29,1307284459,1314823286
localize_glossary_translation_222_fr,raw user input,1,0,données brutes saisies par l'utilisateur,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=raw%20user%20input,1307284459,1314823288
localize_glossary_translation_221_fr,range,1,0,intervalle,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=range,1307284459,1314823288
localize_glossary_translation_220_fr,queued,1,0,mis en attente,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=queued,1307284459,1314823288
localize_glossary_translation_219_fr,queue (to),1,0,mettre en attente,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=queue%20%28to%29,1307284459,1314823286
localize_glossary_translation_218_fr,queue,1,0,file,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=queue,1307284459,1314823286
localize_glossary_translation_217_fr,provide (to),1,0,fournir / donner,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=provide%20%28to%29,1307284459,1314823286
localize_glossary_translation_203_fr,plugin,1,0,plugin,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=plugin,1307284459,1324070023
localize_glossary_translation_252_fr,set (to),1,0,définir,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=set%20%28to%29,1307284459,1314823286
localize_glossary_translation_301_fr,topic,1,0,sujet,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=topic,1307284459,1314823288
localize_glossary_translation_288_fr,thread,1,0,fil de discussion,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=thread,1307284459,1314823288
localize_glossary_translation_287_fr,text format,1,0,format de texte,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=text%20format,1307284459,1314823288
localize_glossary_translation_286_fr,text field,1,0,champ texte,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=text%20field,1307284459,1314823288
localize_glossary_translation_285_fr,terminated,1,0,arrêté / terminé / clos,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=terminated,1307284459,1314823288
localize_glossary_translation_284_fr,template,1,0,gabarit,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=template,1307284459,1314823288
localize_glossary_translation_283_fr,teaser node,1,0,nœud en mode accroche,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=teaser%20node,1307284459,1314823288
localize_glossary_translation_282_fr,teaser,1,0,accroche,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=teaser,1307284459,1314823288
localize_glossary_translation_281_fr,taxonomy,1,0,taxonomie,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=taxonomy,1307284459,1319186994
localize_glossary_translation_280_fr,tag,1,0,[contexte taxonomie:] étiquette/mot-clé [contexte HTML:] balise,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=tag,1307284459,1324072750
localize_glossary_translation_289_fr,threaded,1,0,hiérarchisé / indenté,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=threaded,1307284459,1314823288
localize_glossary_translation_290_fr,threading,1,0,hiérarchie / indentation,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=threading,1307284459,1314823288
localize_glossary_translation_291_fr,threshold,1,0,seuil,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=threshold,1307284459,1314823288
localize_glossary_translation_300_fr,tokenizer,1,0,Générateur de Jetons (Tokenizer),1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=tokenizer,1307284459,1314823288
localize_glossary_translation_299_fr,token,1,0,jeton (token),1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=token,1307284459,1314823288
localize_glossary_translation_298_fr,toggle (to),1,0,activer/désactiver,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=toggle%20%28to%29,1307284459,1314823288
localize_glossary_translation_297_fr,time ago,1,0,temps relatif,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=time%20ago,1307284459,1446919486
localize_glossary_translation_296_fr,timespan,1,0,durée,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=timespan,1307284459,1314823288
localize_glossary_translation_295_fr,timestamp,1,0,horodatage,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=timestamp,1307284459,1314823288
localize_glossary_translation_294_fr,timeouts,1,0,expirations,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=timeouts,1307284459,1314823288
localize_glossary_translation_293_fr,timeout (to),1,0,expirer,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=timeout%20%28to%29,1307284459,1314823288
localize_glossary_translation_292_fr,thumbnail,1,0,vignette,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=thumbnail,1307284459,1446918055
